ROI,ICC,pval
Noise_WAA_FDR,0.28615305755430986,0.13275592116028564
Speech_WAA_FDR,0.3514858058361328,0.083263957948624
Noise_WAA,0.6904001505679053,0.0010779780763043798
Speech_WAA,0.4060607853383913,0.05290878574836652
Noise_GLM,0.5065118841892757,0.01900181515403683
Speech_GLM,0.2930073722049922,0.1268613927073129
Left_Auditory,0.46542461599861956,0.029870374092504714
Right_Auditory,0.42872639465385426,0.042979670467959925
Visual,0.001741387350607102,0.4973538447575367
Front,0.6378286324390017,0.00293685171003284
