ROI,ICC,CI95_low,CI95_high,F,pval
Noise_WAA_FDR,0.6528733145735243,0.25,0.86,4.761585276979854,0.0022464480364747137
Speech_WAA_FDR,0.7037225209274728,0.34,0.89,5.750428707105377,0.0008095015268785442
Noise_WAA,0.7402835358297688,0.4,0.9,6.7007054843049945,0.00033919752320110685
Speech_WAA,0.7836205867476926,0.48,0.92,8.243023492571899,9.89684208677861e-05
Noise_GLM_FDR,0.7097244905920802,0.35,0.89,5.890005994923362,0.000707982318841438
Speech_GLM_FDR,0.4615689851045755,-0.03,0.77,2.714496276534972,0.031086822790605605
Noise_GLM,0.6133446234027702,0.19,0.85,4.172564824006973,0.0044171850486856585
Speech_GLM,0.6415062955861677,0.23,0.86,4.578898528413965,0.0027541193155380134
Left_Auditory,0.6500095856836031,0.24,0.86,4.714442219528815,0.002366558682384717
Right_Auditory,0.7112847645782678,0.35,0.89,5.9272409441038345,0.0006833835323129245
Visual,0.04987379149635272,-0.44,0.52,1.104983508611764,0.42461969197540717
Front,0.13303891813680527,-0.37,0.58,1.3069086281263975,0.30536758316720736
